run,final_prediction_loss,final_test_loss,final_test_rollout_error,final_attention_entropy
Baseline,0.002284282585605979,0.000529397395439446,0.12609655,nan
Entropy reg. ($\lambda=10^{-3}$),0.0024321030359715223,0.0003417559782974422,0.08119806,0.7592311501502991
