attention_entropy_reg,final_prediction_loss,final_test_loss,final_test_rollout_error,final_attention_entropy
0.0,0.007221641484647989,0.0013273332733660936,0.37424228,nan
0.001,0.007916214875876904,0.0012427447363734245,0.41746247,0.7930941581726074
0.01,0.009914773516356945,0.0017651853850111365,0.4274055,0.06161331385374069
0.1,0.012063618749380112,0.002108523389324546,0.92984897,0.010537499561905861
